"","StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","IC","AgeG","Timer_1_Vignette_First_Click","Timer_1_Vignette_Last_Click","Timer_1_Vignette_Page_Submit","Timer_1_Vignette_Click_Count","AC1","Ch_LoEf_1","Ch_LoEf_2","Ch_LoEf_3","Ch_LoEf_4","Ch_LoEf_5","Ch_LoEf_6","Ch_LoEf_7","Ch_LoEf_8","Ch_LoEf_9","Ch_LoEf_10","Ch_LoEf_11","Ch_LoEf_12","Ch_LoEf_13","Ch_LoEf_14","Ch_LoEf_15","Ch_HiEf_1","Ch_HiEf_2","Ch_HiEf_3","Ch_HiEf_4","Ch_HiEf_5","Ch_HiEf_6","Ch_HiEf_7","Ch_HiEf_8","Ch_HiEf_9","Ch_HiEf_10","Ch_HiEf_11","Ch_HiEf_12","Ch_HiEf_13","Ch_HiEf_14","Ch_HiEf_15","Ef_LoEf","Ef_HiEf","Qu_LoEf","Qu_HiEf","Dif_LoEf","Dif_HiEf","Val_LoEf","Val_HiEf","AC2","Sal_LoEf_1","Sal_HiEf_1","FW1","FW2","FW3","FW4","FW5","FW6","Age","Gen","Gen_3_TEXT","Nat","Cou","Lan","Edu","Lad","FB","SC0"
"11",2024-06-28 14:23:29,2024-06-28 14:32:09,0,"201.106.14.148",100,519,1,2024-06-28 14:32:10,"R_6i8VxGONDzPh2SZ",NA,NA,NA,NA,19.5502,-99.0136,"anonymous","EN",1,2,0,0,90.027,0,4,7,3,4,7,7,7,7,6,6,6,4,7,5,5,4,7,6,5,6,7,6,5,6,6,7,6,7,4,6,5,4,7,4,4,4,7,4,4,1,70,65,7,7,5,7,6,6,39,2,NA,"Mexicana",1,1,9,6,NA,276
"12",2024-06-28 22:09:35,2024-06-28 22:16:56,0,"187.189.155.243",100,440,1,2024-06-28 22:16:57,"R_6sJpmDRYsZkzyPD",NA,NA,NA,NA,20.5523,-103.4145,"anonymous","EN",1,2,8.333,55.408,57.341,7,7,7,1,4,7,7,7,4,4,7,4,4,4,4,4,4,7,1,4,7,7,4,4,7,7,4,7,4,4,4,7,4,7,7,7,4,4,7,7,1,60,60,7,7,4,7,4,7,36,2,NA,"Mexicana",1,1,9,7,NA,263
"13",2024-06-27 07:17:54,2024-06-27 07:18:16,0,"186.106.175.92",6,22,0,2024-06-29 07:18:19,"R_5tEtWOTexXwpAZz",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14",2024-06-29 14:58:26,2024-06-29 15:02:48,0,"187.134.9.252",100,261,1,2024-06-29 15:02:49,"R_5zG77z1mXDJDupc",NA,NA,NA,NA,27.4428,-109.8946,"anonymous","EN",1,1,6.13,18.433,76.12,4,7,4,4,3,3,5,6,3,5,3,4,2,5,4,3,5,3,6,5,3,5,5,4,4,4,5,4,4,5,5,4,5,4,5,4,4,6,3,4,1,65,70,4,5,4,6,3,5,28,1,NA,"Mexicana",1,1,9,7,NA,215
"15",2024-06-27 16:17:55,2024-06-27 16:19:07,0,"187.189.34.136",18,72,0,2024-06-29 16:19:09,"R_7THMm0NMr2TVrP3",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,17.561,21.609,22.153,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"16",2024-06-29 16:37:37,2024-06-29 16:49:42,0,"200.68.166.11",100,724,1,2024-06-29 16:49:43,"R_1LHEvafC1VDRe7n",NA,NA,NA,NA,20.6381,-103.348,"anonymous","EN",1,2,2.346,49.178,50.401,16,7,7,1,6,7,5,7,5,4,1,2,2,6,3,3,1,6,1,7,5,6,6,1,7,1,3,4,6,1,4,1,4,6,7,7,4,4,5,5,1,60,60,1,2,4,4,4,4,45,2,NA,"Mexicana",1,1,9,5,NA,208
"17",2024-06-30 04:11:10,2024-06-30 04:20:45,0,"189.216.23.129",100,575,1,2024-06-30 04:20:46,"R_3aQS2e8AFrR4RBM",NA,NA,NA,NA,19.4354,-99.1427,"anonymous","EN",1,2,129.238,137.346,153.598,14,7,7,7,7,4,7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,1,70,70,4,4,4,4,4,4,40,2,NA,"Mexicana",1,1,8,7,NA,302
"18",2024-06-30 05:55:07,2024-06-30 05:57:02,0,"186.106.168.210",100,115,1,2024-06-30 05:57:03,"R_6eyFGNpg2DPvAGj",NA,NA,NA,NA,-33.4521,-70.6536,"anonymous","EN",1,1,0,0,26.723,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,60,60,4,4,4,4,4,4,99,3,"test","test",2,3,7,5,NA,173
"19",2024-06-30 07:08:00,2024-06-30 07:10:53,0,"46.121.35.180",100,172,1,2024-06-30 07:10:54,"R_4qR4oE9lrB95SE1",NA,NA,NA,NA,32.0821,34.8122,"anonymous","EN",1,4,6.287,6.287,39.212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,55,1,1,1,1,1,1,22,2,NA,"test",1,3,3,4,"test",63
"20",2024-06-30 07:40:49,2024-06-30 07:42:36,0,"186.106.168.210",100,107,1,2024-06-30 07:42:37,"R_5qkQafRqeoiXBhs",NA,NA,NA,NA,-33.4521,-70.6536,"anonymous","EN",1,1,0,0,22.016,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,4,6,4,6,3,7,5,60,60,4,4,4,4,4,4,99,3,"test","test",1,3,7,3,NA,179
"21",2024-06-30 07:47:35,2024-06-30 07:50:02,0,"186.106.168.210",100,146,1,2024-06-30 07:50:02,"R_5ydu5u10XWAbAmx",NA,NA,NA,NA,-33.4521,-70.6536,"anonymous","EN",1,3,0,0,35.634,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,60,60,4,4,4,4,4,4,99,3,"test","test",2,3,9,5,NA,177
"22",2024-06-30 08:22:55,2024-06-30 08:29:05,0,"46.121.35.180",100,369,1,2024-06-30 08:29:06,"R_4gMM3DzNsUZQYRr",NA,NA,NA,NA,32.0821,34.8122,"anonymous","EN",1,3,113.051,113.051,113.779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,60,1,1,1,1,1,1,22,1,NA,"test",1,1,2,1,"test",55
"23",2024-06-30 10:29:49,2024-06-30 10:41:04,0,"189.217.209.230",100,675,1,2024-06-30 10:41:05,"R_58VvNjoBe1eyuml",NA,NA,NA,NA,19.4354,-99.1427,"anonymous","EN",1,2,9.59,46.526,61.794,3,5,7,5,6,7,3,7,7,7,6,7,7,7,7,7,4,7,6,7,6,7,7,5,6,7,7,7,7,7,7,7,4,7,7,7,5,5,7,7,1,75,75,4,6,7,7,7,6,36,2,NA,"Mexicana",1,1,10,5,NA,307
"24",2024-06-30 11:17:52,2024-06-30 11:25:20,0,"201.162.232.36",100,447,1,2024-06-30 11:25:20,"R_5dMoW6EcDQeEZ2t",NA,NA,NA,NA,19.4342,-99.0559,"anonymous","EN",1,2,2.711,102.396,122.708,12,7,7,4,7,7,7,7,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,7,1,60,60,7,7,1,4,7,4,31,2,NA,"Mexicana",1,1,9,4,NA,311
"25",2024-06-30 12:10:47,2024-06-30 12:20:53,0,"200.110.105.114",100,605,1,2024-06-30 12:20:53,"R_69c6ZxCnAUIcFgJ",NA,NA,NA,NA,21.6851,-102.5979,"anonymous","EN",1,2,2.567,55.234,58.48,6,7,7,4,4,7,7,7,4,7,7,4,7,7,4,4,7,7,4,7,7,7,7,7,7,7,7,7,7,7,4,4,3,7,7,7,6,6,7,7,1,60,60,7,7,7,6,7,7,31,1,NA,"Mexicano",1,1,10,7,"Mejorar y ser más específicos con las preguntas.",304
"26",2024-06-30 19:41:34,2024-06-30 19:50:49,0,"187.244.228.100",100,555,1,2024-06-30 19:50:50,"R_6QE2X7GIKkEI9nj",NA,NA,NA,NA,20.5377,-97.4307,"anonymous","EN",1,2,13.734,75.144,75.801,10,7,5,4,3,3,3,4,3,3,4,4,3,3,4,3,3,7,4,7,6,7,7,5,6,6,5,6,7,5,6,5,2,7,5,7,4,6,5,6,1,50,70,1,2,4,7,7,4,35,1,NA,"México",1,1,6,4,"Me gustaría seguir participando en este tipo de tareas",231
"27",2024-06-30 23:17:44,2024-06-30 23:29:38,0,"177.228.83.184",100,713,1,2024-06-30 23:29:39,"R_37Pea3H2iLG6viy",NA,NA,NA,NA,28.8411,-111.0403,"anonymous","EN",1,2,4.78,61.837,66.698,12,7,6,3,6,6,7,6,7,6,7,6,7,7,4,6,4,6,4,6,5,7,6,5,7,6,5,7,7,4,6,5,5,6,7,7,6,6,5,5,1,70,70,6,6,5,7,6,4,38,2,NA,"Mexicana",1,1,9,4,NA,282
"28",2024-07-01 07:29:21,2024-07-01 07:38:35,0,"189.165.233.216",100,553,1,2024-07-01 07:38:35,"R_7fwpnYcbK5zFIUU",NA,NA,NA,NA,18.9609,-98.226,"anonymous","EN",1,3,3.449,82.445,83.512,21,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,7,7,5,7,7,7,7,7,6,7,7,4,7,7,7,3,6,7,7,1,70,70,6,6,3,7,7,4,59,1,NA,"Mexicano",1,1,9,7,NA,314
"29",2024-07-01 08:08:47,2024-07-01 08:16:56,0,"189.162.70.105",100,489,1,2024-07-01 08:16:57,"R_1eVWeAR5aRe2egS",NA,NA,NA,NA,21.0287,-101.4821,"anonymous","EN",1,3,2.165,92.287,93.892,21,7,6,3,5,6,6,7,6,6,7,5,4,7,4,4,5,7,4,7,7,7,5,7,7,7,5,6,6,4,3,6,4,7,6,6,5,6,6,6,1,60,60,6,5,7,5,5,5,47,2,NA,"Mexicana",1,1,9,7,NA,279
"30",2024-07-01 10:42:02,2024-07-01 10:57:15,0,"187.132.236.62",100,912,1,2024-07-01 10:57:16,"R_7svwrNTmIAmfkXF",NA,NA,NA,NA,20.9716,-89.6413,"anonymous","EN",1,3,13.729,60.736,61.424,5,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,4,7,7,7,4,7,7,7,7,7,7,4,7,7,4,7,7,7,4,4,7,7,1,65,65,4,4,7,4,7,4,50,2,NA,"Mexicana",1,1,9,6,NA,305
"31",2024-07-01 11:01:18,2024-07-01 11:06:48,0,"177.125.136.114",100,329,1,2024-07-01 11:06:49,"R_54DRPcvTSM2zg5j",NA,NA,NA,NA,25.6484,-100.3195,"anonymous","EN",1,2,0,0,58.678,0,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,7,6,7,7,7,5,6,7,7,6,6,6,6,7,6,4,7,6,6,4,4,4,4,1,60,60,3,3,4,6,6,3,39,1,NA,"Mexicana",1,1,9,7,NA,280
"32",2024-07-01 10:59:30,2024-07-01 11:08:30,0,"187.190.205.209",100,540,1,2024-07-01 11:08:30,"R_5QJwoELLJCQO2Ly",NA,NA,NA,NA,20.7972,-103.471,"anonymous","EN",1,2,28.617,28.617,35.508,1,7,4,4,4,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,5,4,5,4,4,5,4,4,4,4,4,4,1,70,70,4,4,1,7,7,7,37,1,NA,"mexicano",1,1,9,4,NA,218
"33",2024-07-01 11:17:09,2024-07-01 11:26:26,0,"189.216.232.8",100,557,1,2024-07-01 11:26:27,"R_1Wc3PrUCyAtkqVH",NA,NA,NA,NA,19.4354,-99.1427,"anonymous","EN",1,2,0,0,39.293,0,7,7,6,6,7,7,7,6,7,7,7,7,7,6,6,6,7,6,7,7,7,7,6,7,7,6,7,7,6,6,7,4,6,6,6,4,4,6,6,1,60,60,4,4,6,4,4,4,39,2,NA,"mexicana",1,1,9,4,"El hecho que el trabajo sea mas dificil para uno que para otro, no significa que tenga diferente valor, o que la personalidad de las personas cambie por dicho aspecto. Ahora el tiempo avanza, hay cambios en todos los aspectos de la vida, no todo es como ante, tenemos que evolucionar.",294
"34",2024-07-01 11:33:49,2024-07-01 11:42:14,0,"177.225.164.186",100,505,1,2024-07-01 11:42:15,"R_50dCslqnlwBfaV3",NA,NA,NA,NA,20.6105,-103.6925,"anonymous","EN",1,1,0,0,68.498,0,7,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,4,7,4,7,7,7,7,7,7,7,6,6,2,7,7,7,4,4,7,7,1,60,60,1,1,1,1,7,7,30,1,NA,"mexicano",1,1,9,7,NA,290
"35",2024-07-01 11:00:58,2024-07-01 11:59:54,0,"177.226.235.212",100,3535,1,2024-07-01 12:00:01,"R_7OcBL7K6WOunU1b",NA,NA,NA,NA,18.4613,-97.445,"anonymous","EN",1,2,28.6,151.869,152.522,4,5,5,4,4,4,4,7,4,4,4,4,5,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,50,55,4,2,4,3,5,2,33,2,NA,"Mexicana",1,1,6,5,NA,204
"36",2024-07-01 12:07:28,2024-07-01 12:15:11,0,"187.190.25.52",100,463,1,2024-07-01 12:15:12,"R_7rHZMhsY9HP7eey",NA,NA,NA,NA,19.4708,-99.1074,"anonymous","EN",1,1,10.798,41.264,42.644,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7,4,4,7,7,7,7,4,7,4,4,1,7,7,7,4,4,7,7,1,70,65,1,1,4,7,1,4,30,2,NA,"Mexico",1,1,9,5,"Buena encuesta",278
"37",2024-07-01 13:20:34,2024-07-01 13:26:41,0,"201.175.242.195",100,367,1,2024-07-01 13:26:42,"R_5fUhbOBphI0mjOq",NA,NA,NA,NA,20.671,-103.3299,"anonymous","EN",1,1,6.63,81.312,82.549,9,4,7,7,7,5,6,3,7,4,5,7,7,7,4,7,7,7,4,6,4,4,7,7,3,5,6,4,7,4,6,3,4,4,5,5,5,4,4,4,5,70,70,5,5,5,4,4,5,18,1,NA,"México",1,3,6,5,"Buena encuesta",256
"38",2024-07-01 13:27:02,2024-07-01 13:35:18,0,"201.141.102.56",100,495,1,2024-07-01 13:35:18,"R_796X4O9NsLF47SR",NA,NA,NA,NA,19.4354,-99.1427,"anonymous","EN",1,2,2.084,82.023,82.79,15,7,1,1,1,1,4,1,1,4,1,1,1,3,1,1,1,5,1,1,4,5,4,1,5,1,1,1,5,1,1,1,3,7,3,3,1,4,3,3,1,80,85,1,1,7,7,1,4,39,2,NA,"Nicaragüense",1,1,9,4,NA,135
"39",2024-07-01 14:52:34,2024-07-01 15:01:18,0,"187.202.234.237",100,524,1,2024-07-01 15:01:19,"R_1IQvHpBc8APPK8N",NA,NA,NA,NA,19.4342,-99.0559,"anonymous","EN",1,1,3.899,36.296,55.203,6,7,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,4,6,2,2,2,3,5,6,5,3,4,2,2,2,7,6,2,3,4,7,7,1,85,50,7,7,7,7,7,3,24,1,NA,"Mexicana",1,2,6,6,NA,186
"40",2024-07-01 16:58:21,2024-07-01 17:03:21,0,"138.186.29.251",100,299,1,2024-07-01 17:03:21,"R_3uZATTMxWthiREJ",NA,NA,NA,NA,19.494,-99.0383,"anonymous","EN",1,1,0,0,29.983,0,6,5,4,5,5,5,5,2,5,6,5,5,2,6,6,5,3,3,3,4,4,5,5,5,4,5,5,3,3,5,4,1,3,5,4,5,3,5,3,5,85,80,4,5,4,3,3,5,28,1,NA,"Mexicana",1,3,8,8,NA,218
"41",2024-07-01 17:55:44,2024-07-01 18:09:35,0,"189.129.17.62",100,830,1,2024-07-01 18:09:36,"R_31LB5Q2UqyDvvZx",NA,NA,NA,NA,19.4342,-99.0559,"anonymous","EN",1,2,3.2,195.356,200.704,15,7,4,3,6,4,4,3,3,4,5,5,3,5,6,4,4,7,5,6,6,7,6,3,7,7,7,6,6,7,5,6,2,7,6,6,3,5,6,7,1,60,60,5,2,4,6,4,4,32,2,NA,"Mexicana",1,1,9,7,NA,251
"42",2024-06-29 20:45:10,2024-06-29 20:46:26,0,"187.241.240.63",18,76,0,2024-07-01 20:46:31,"R_3Jq65ZvDsIKpR0m",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,1,6.572,27.878,28.978,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43",2024-07-01 20:29:53,2024-07-01 20:53:55,0,"189.229.142.247",100,1442,1,2024-07-01 20:53:56,"R_507NSKaR7dLgCg9",NA,NA,NA,NA,19.4372,-99.0369,"anonymous","EN",1,1,0,0,83.38,0,7,2,2,3,2,4,5,4,3,4,4,4,4,4,5,4,7,5,5,6,6,6,5,6,6,6,6,6,5,5,6,3,6,6,6,3,3,4,6,1,70,70,7,7,1,5,6,4,24,1,NA,"Mexicana",1,2,7,4,"Excelente encuesta muchas gracias",231
"44",2024-06-29 22:17:44,2024-06-29 22:18:11,0,"187.189.34.136",9,26,0,2024-07-01 22:18:16,"R_3BhfwWkDf96TfcL",NA,NA,NA,NA,NA,NA,"anonymous","EN",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"45",2024-07-01 23:07:31,2024-07-01 23:17:59,0,"189.245.61.238",100,628,1,2024-07-01 23:18:00,"R_6tF2RdUX4LmTSmt",NA,NA,NA,NA,19.3143,-99.1271,"anonymous","EN",1,2,2.841,62.512,74.776,15,7,6,6,6,7,6,7,6,6,6,7,6,7,5,4,6,6,6,6,6,7,5,7,7,7,6,6,7,6,4,6,3,7,5,5,4,6,5,6,1,60,65,5,5,5,7,7,2,39,1,NA,"Mexicana",1,1,8,6,NA,282
"46",2024-07-02 00:49:01,2024-07-02 00:58:25,0,"200.68.166.73",100,564,1,2024-07-02 00:58:25,"R_7jkrzrvRF6d6ix3",NA,NA,NA,NA,20.6381,-103.348,"anonymous","EN",1,2,2.597,72.573,73.182,19,7,7,5,6,7,7,7,7,6,7,7,7,6,6,6,6,7,4,7,7,7,4,7,7,5,7,6,7,6,4,5,4,7,7,7,4,6,7,7,1,65,65,1,1,7,7,7,7,35,2,NA,"Mexicana",1,1,9,3,NA,292
"47",2024-07-02 05:00:57,2024-07-02 05:20:10,0,"189.245.109.197",100,1153,1,2024-07-02 05:20:12,"R_6NlXX6XFNii3n8t",NA,NA,NA,NA,19.4203,-99.1193,"anonymous","EN",1,4,51.807,137.437,157.269,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,1,60,60,4,4,2,4,6,6,66,1,NA,"Mexicano",1,1,9,7,NA,320
"48",2024-07-02 08:59:41,2024-07-02 09:05:38,0,"187.210.68.22",100,356,1,2024-07-02 09:05:39,"R_5zuUHH4oyAQEwCZ",NA,NA,NA,NA,20.967,-89.6238,"anonymous","EN",1,2,0,0,57.005,0,7,6,5,6,6,7,7,6,6,6,6,6,7,4,5,5,6,6,7,6,7,7,6,6,7,6,6,7,6,6,7,6,7,6,6,6,6,7,7,1,60,60,5,5,2,6,5,6,41,1,NA,"Mexicano",1,1,8,3,NA,288
"49",2024-07-02 08:55:35,2024-07-02 09:06:30,0,"189.179.191.105",100,655,1,2024-07-02 09:06:31,"R_3QsPdZBtizzqnTH",NA,NA,NA,NA,28.693,-100.58,"anonymous","EN",1,3,0,0,121.616,0,7,7,1,6,7,7,7,6,7,6,1,6,6,4,6,1,6,1,5,6,6,6,5,6,6,1,5,6,6,5,5,4,7,7,6,7,7,7,7,1,75,75,7,7,1,4,7,7,51,1,NA,"Mexicana",1,1,9,6,NA,267
